Class,Accuracy,Precision,Recall,F1-Score,mAP,IoU @ 0.5
cardboard,0.7073170731707317,0.17154811715481172,1.0,0.2928571426071684,0.10971537846071511,0.16666666666666666
glass,0.8666666666666667,0.2510460251046025,1.0,0.40133779232133865,0.24502630911626727,0.006734006734006734
metal,0.9705882352941176,0.14225941422594143,1.0,0.2490842488661863,0.14225941422594143,0.0
paper,0.864406779661017,0.24686192468619247,1.0,0.3959731540448403,0.24686192468619247,0.0
plastic,0.7555555555555555,0.18828451882845187,1.0,0.316901408184016,0.18828451882845187,0.0
Overall Accuracy,0.8326359832635983,,,,,
